p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
7.596437540117568e-11	2.338158415233867	0.025	0.004	2.098819727959083e-6	Meristematic cell	AT2G07779
7.846405599200497e-11	0.5294184178609465	0.047	0.014	2.1678834030031053e-6	Meristematic cell	AT5G22800
7.863640405552192e-11	0.5814818448052579	0.128	0.066	2.172645207650015e-6	Meristematic cell	AT2G48110
7.879682442653666e-11	0.2733463727987169	0.267	0.171	2.177077462080781e-6	Meristematic cell	AT1G08530
8.038281323621658e-11	0.27109455547491823	0.602	0.427	2.220896746903428e-6	Meristematic cell	AT2G40600
8.214669277656571e-11	0.6171737665745454	0.1	0.046	2.269630974723734e-6	Meristematic cell	AT1G74710
8.247403906641618e-11	0.27531043054076676	0.176	0.099	2.278675225366013e-6	Meristematic cell	AT1G03470
8.270199292422452e-11	0.16885354491400673	0.105	0.049	2.284973362503399e-6	Meristematic cell	AT1G03750
8.329317205091497e-11	0.5686535274278413	0.135	0.071	2.3013070505947296e-6	Meristematic cell	AT4G21060
8.676710542567194e-11	0.796061369859066	0.12	0.06	2.39728835580589e-6	Meristematic cell	AT5G54290
8.76744083397927e-11	0.3277633257412713	0.112	0.054	2.422356228020132e-6	Meristematic cell	AT3G50685
8.913174388527057e-11	1.32101413067749	0.046	0.013	2.4626209518061405e-6	Meristematic cell	AT1G62870
8.941104075832532e-11	0.22168273854030573	0.386	0.266	2.47033764511177e-6	Meristematic cell	AT2G36480
9.087529508390838e-11	0.20074804018699188	0.278	0.178	2.5107935278733046e-6	Meristematic cell	AT1G18440
9.79440679734736e-11	0.23298362555238494	0.234	0.145	2.706096654039102e-6	Meristematic cell	AT1G04930
9.800010386297711e-11	0.253982455815259	0.259	0.164	2.7076448696301948e-6	Meristematic cell	AT5G08335
1.0045487334915521e-10	2.683516357949996	0.024	0.004	2.775467695763809e-6	Meristematic cell	AT1G33170
1.0079219730901058e-10	0.5485038442806123	0.174	0.1	2.7847876194506534e-6	Meristematic cell	AT2G32480
1.0110325427741882e-10	0.3156046101242427	0.312	0.206	2.7933818124308047e-6	Meristematic cell	AT1G55130
1.0186010904676278e-10	0.3156948637411898	0.246	0.156	2.814292952853009e-6	Meristematic cell	AT1G24280
1.0261485352951933e-10	0.5139531667966315	0.164	0.093	2.83514578816709e-6	Meristematic cell	AT2G38570
